Annee,Titre,Auteurs,Venue,Type,DOI,Lien
2025,Impact of hotel responses to online reviews on customer loyalty and acquisition: a longitudinal sentiment analysis with booking,"Seynabou Diouf, Haïfa Nakouri, Bob-Antoine Jerry Ménélas",Int. J. Data Sci. Anal.,Journal Articles,10.1007/S41060-025-00870-4,https://doi.org/10.1007/s41060-025-00870-4
2025,A Data-centric approach for safe and secure large language models against threatening and toxic content,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",Int. J. Inf. Sec.,Journal Articles,10.1007/S10207-025-01066-4,https://doi.org/10.1007/s10207-025-01066-4
2025,"A systematic review of generative AI approaches for medical image enhancement: Comparing GANs, transformers, and diffusion models","Chaimaa Oulmalme, Haïfa Nakouri, Fehmi Jaafar",Int. J. Medical Informatics,Journal Articles,10.1016/J.IJMEDINF.2025.105903,https://doi.org/10.1016/j.ijmedinf.2025.105903
2025,A new ensemble method for brain tumor segmentation,"Souleymane Mahaman Laouali, Mouna Chebbah, Haïfa Nakouri",Multim. Tools Appl.,Journal Articles,10.1007/S11042-024-19434-Y,https://doi.org/10.1007/s11042-024-19434-y
2025,Detecting StyleGAN-Generated Deepfake Faces with Vision Transformers and Latent Attention,"Sokhna Bally Touré, Haïfa Nakouri, Bob-Antoine Jerry Ménélas",ACIVS,Conference and Workshop Papers,10.1007/978-3-032-07343-3_18,https://doi.org/10.1007/978-3-032-07343-3_18
2025,SafetilBERT: an efficient and explained LLM for IoMT attacks classification,"Mamadou Niang, Haïfa Nakouri, Fehmi Jaafar",CSR,Conference and Workshop Papers,10.1109/CSR64739.2025.11130122,https://doi.org/10.1109/CSR64739.2025.11130122
2025,Content Safety and Response Quality in LLMs: A Data-Centric Refinement Approach,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",KES,Conference and Workshop Papers,10.1016/J.PROCS.2025.09.549,https://doi.org/10.1016/j.procs.2025.09.549
2025,A Hybrid Approach to Improve the Intrusion Detection Systems Using Generative Artificial Intelligence and Deep Reinforcement Learning,"Ines Ben Makhlouf, Ghassen Kilani, Fehmi Jaafar, Haïfa Nakouri",SECRYPT,Conference and Workshop Papers,10.5220/0013567700003979,https://doi.org/10.5220/0013567700003979
2025,A Data-Centric Approach for Safe and Secure Large Language Models against Threatening and Toxic Content,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",CoRR,Informal and Other Publications,10.48550/ARXIV.2504.16120,https://doi.org/10.48550/arXiv.2504.16120
2024,Enhancing RAG-Retrieval to Improve LLMs Robustness and Resilience to Hallucinations,"Chaima Njeh, Haïfa Nakouri, Fehmi Jaafar",HAIS,Conference and Workshop Papers,10.1007/978-3-031-74186-9_17,https://doi.org/10.1007/978-3-031-74186-9_17
2024,A Sentiment Analysis Approach for Hotels Rating,"Haïfa Nakouri, Mouna Chebbah, Ahmed Jbali",ICDEc,Conference and Workshop Papers,10.1007/978-3-031-76368-7_3,https://doi.org/10.1007/978-3-031-76368-7_3
2024,SIR-SRGAN-ResNeXt: A New Super-Resolution GAN with Self-Interpolation Ranker and ResNeXt Generator,"Gildas Aimé Sedou Fofe, Haïfa Nakouri, Bob-Antoine Jerry Ménélas",KES,Conference and Workshop Papers,10.1016/J.PROCS.2024.09.190,https://doi.org/10.1016/j.procs.2024.09.190
2021,Two-dimensional Subclass Discriminant Analysis for face recognition,Haïfa Nakouri,Pattern Anal. Appl.,Journal Articles,10.1007/S10044-020-00905-5,https://doi.org/10.1007/s10044-020-00905-5
2021,Roman Amphitheater Classification Using Convolutional Neural Network and Data Augmentation,Haïfa Nakouri,PDCAT,Conference and Workshop Papers,10.1007/978-3-030-96772-7_44,https://doi.org/10.1007/978-3-030-96772-7_44
