Annee,Titre,Auteurs,Type,DOI,Lien
2023,Evidential Generative Adversarial Networks for Handling Imbalanced Learning,"Zied Elouedi, Fares Grina, Eric Lefevre",Chapter,10.1007/978-3-031-45608-4_20,https://www.researchgate.net/publication/375755642_Evidential_Generative_Adversarial_Networks_for_Handling_Imbalanced_Learning
2023,An ensemble classifier through rough set reducts for handling data with evidential attributes,"Zied Elouedi, Eric Lefevre, Asma Trabelsi",Article,10.1016/j.ins.2023.01.091,https://www.researchgate.net/publication/367285513_An_ensemble_classifier_through_rough_set_reducts_for_handling_data_with_evidential_attributes
2023,Re-sampling of multi-class imbalanced data using belief function theory and ensemble learning,"Zied Elouedi, Fares Grina, Eric Lefevre",Article,10.1016/j.ijar.2023.02.006,https://www.researchgate.net/publication/368627431_Re-sampling_of_multi-class_imbalanced_data_using_belief_function_theory_and_ensemble_learning
2022,Towards more trustworthy predictions: A hybrid evidential movie recommender system,"Zied Elouedi, Raoua Abdelkhalek, Imen Boukhris",Article,10.3897/jucs.79777,https://www.researchgate.net/publication/364942371_Towards_more_trustworthy_predictions_A_hybrid_evidential_movie_recommender_system
2022,Learning from Imbalanced Data Using an Evidential Undersampling-Based Ensemble,"Zied Elouedi, Fares Grina, Eric Lefevre",Chapter,10.1007/978-3-031-18843-5_16,https://www.researchgate.net/publication/364582798_Learning_from_Imbalanced_Data_Using_an_Evidential_Undersampling-Based_Ensemble
2022,Déséquilibre multi-classes : une approche évidentielle de rééchantillonnage hybride,"Zied Elouedi, Fares Grina, Eric Lefevre",Conference Paper,,https://www.researchgate.net/publication/366588867_Desequilibre_multi-classes_une_approche_evidentielle_de_reechantillonnage_hybride
2022,Learning from imbalanced data using an evidential undersampling-based ensemble,"Zied Elouedi, Fares Grina, Eric Lefevre",Conference Paper,,https://www.researchgate.net/publication/362208969_Learning_from_imbalanced_data_using_an_evidential_undersampling-based_ensemble
2022,Hybrid Artificial Immune Recognition System with Improved Belief Classification Process,"Rihab Abdelkhalek, Zied Elouedi",Chapter,10.1007/978-3-031-17801-6_29,https://www.researchgate.net/publication/364022547_Hybrid_Artificial_Immune_Recognition_System_with_Improved_Belief_Classification_Process
2022,Hybrid Artificial Immune Recognition System with improved belief classification process,"Zied Elouedi, Rihab Abdelkhalek",Conference Paper,,https://www.researchgate.net/publication/362209022_Hybrid_Artificial_Immune_Recognition_System_with_improved_belief_classification_process
2022,Optimized Evidential AIRS with Feature Selection and Genetic Algorithm,"Zied Elouedi, Rihab Abdelkhalek",Chapter,10.1007/978-3-030-96308-8_101,https://www.researchgate.net/publication/359499508_Optimized_Evidential_AIRS_with_Feature_Selection_and_Genetic_Algorithm
2022,Evidential Hybrid re-sampling for Multi-Class imbalanced data,"Fares Grina, Zied Elouedi, Eric Lefevre",Conference Paper,,https://www.researchgate.net/publication/362208974_Evidential_Hybrid_re-sampling_for_Multi-Class_imbalanced_data
2022,Evidential Spammers and Group Spammers Detection,"Zied Elouedi, Eric Lefevre, Malika Ben Khalifa",Chapter,10.1007/978-3-030-96308-8_23,https://www.researchgate.net/publication/359499365_Evidential_Spammers_and_Group_Spammers_Detection
2022,Evidential Hybrid Re-sampling for Multi-class Imbalanced Data,"Fares Grina, Zied Elouedi, Eric Lefevre",Chapter,10.1007/978-3-031-08974-9_49,https://www.researchgate.net/publication/361732623_Evidential_Hybrid_Re-sampling_for_Multi-class_Imbalanced_Data
2021,An Optimized Evidential Artificial Immune Recognition System Based on Genetic Algorithm,"Zied Elouedi, Rihab Abdelkhalek",Chapter,10.1007/978-3-030-91608-4_19,https://www.researchgate.net/publication/356477874_An_Optimized_Evidential_Artificial_Immune_Recognition_System_Based_on_Genetic_Algorithm
2021,An Optimized Evidential Artificial Immune Recognition System based on Genetic Algorithm,"Zied Elouedi, Rihab Abdelkhalek",Conference Paper,,https://www.researchgate.net/publication/362209000_An_Optimized_Evidential_Artificial_Immune_Recognition_System_based_on_Genetic_Algorithm
2021,Uncertainty-Aware Resampling Method for Imbalanced Classification Using Evidence Theory,"Fares Grina, Zied Elouedi, Eric Lefevre",Conference Paper,,https://www.researchgate.net/publication/362219253_Uncertainty-Aware_Resampling_Method_for_Imbalanced_Classification_Using_Evidence_Theory
2021,Evidential Undersampling Approach for Imbalanced Datasets with Class-Overlapping and Noise,"Fares Grina, Zied Elouedi, Eric Lefevre",Chapter,10.1007/978-3-030-85529-1_15,https://www.researchgate.net/publication/354697643_Evidential_Undersampling_Approach_for_Imbalanced_Datasets_with_Class-Overlapping_and_Noise
2021,An evidential spammer detection based on the suspicious behaviors’ indicators,"Zied Elouedi, Eric Lefevre, Malika Ben Khalifa",Chapter,,https://www.researchgate.net/publication/362208879_An_evidential_spammer_detection_based_on_the_suspicious_behaviors%27_indicators
2021,Parameter optimization and weights assessment for Evidential Artificial Immune Recognition System,"Zied Elouedi, Rihab Abdelkhalek",Conference Paper,,https://www.researchgate.net/publication/362219101_Parameter_optimization_and_weights_assessment_for_Evidential_Artificial_Immune_Recognition_System
2021,Evidential undersampling approach for imbalanced datasets with class-overlapping and noise,"Zied Elouedi, Eric Lefevre, Fares Grina",Conference Paper,,https://www.researchgate.net/publication/362209147_Evidential_undersampling_approach_for_imbalanced_datasets_with_class-overlapping_and_noise
2021,Multiple Criteria Fake Reviews Detection Based on Spammers’ Indicators Within the Belief Function Theory,"Zied Elouedi, Eric Lefevre, Malika Ben Khalifa",Chapter,10.1007/978-3-030-49336-3_15,https://www.researchgate.net/publication/343637132_Multiple_Criteria_Fake_Reviews_Detection_Based_on_Spammers%27_Indicators_Within_the_Belief_Function_Theory
2021,CIMMEP: constrained integrated method for CBR maintenance based on evidential policies,"Safa Ben Ayed, Zied Elouedi, Eric Lefevre",Article,10.1007/s10489-020-02159-4,https://www.researchgate.net/publication/349097477_CIMMEP_constrained_integrated_method_for_CBR_maintenance_based_on_evidential_policies
