Annee,Titre,Auteurs,Journal,Citations,Lien
2024,Safety and efficiency of COVID-19 vaccine in North Africa,"S Chelly, S Jaziri, A Ammar, O Ezzi, N Douss, S Saffar, M Tritar, M Njah, ...","Human Vaccines & Immunotherapeutics 20 (1), 2306703, 2024",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:Se3iqnhoufwC
2024,Hospital Food Services Satisfaction Survey among Healthcare Professionals in a Tunisian University Hospital,"S Chelly, BT Werchfeni, A Maatouk, N Dhaouadi, O Ezzi, A Ammar, ...","Current Nutrition & Food Science 20 (1), 103-109, 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:u-x6o8ySG0sC
2023,Medical students’ resilience level and its associated factors: A Tunisian study,"A Ammar, R Mabrouk, S Chelly, O Ezzi, C Ouni, M Mahjoub, M Njah","La Tunisie Médicale 101 (10), 745, 2023",7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:d1gkVwhDpl0C
2023,"Complementary and alternative medicine in oncology: knowledge, attitude and practice among Tunisian healthcare workers","A Ammar, A Soua, O Ezzi, S Chelly, N Ammar, F Ezzairi, N Khenissi, ...","Journal of Cancer Research and Clinical Oncology 149 (13), 11585-11594, 2023",4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:YsMSGLbcyi4C
2023,Patient safety culture in Tunisian maternity care: Analytic study,"S Chelly, S Fitouri, A Ammar, O Ezzi, A Abbadi, M Njah, M Mahjoub","La Tunisie Médicale 101 (7), 636, 2023",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:ufrVoPGSRksC
2023,Symptoms and risk factors for long COVID in Tunisian population,"S Chelly, S Rouis, O Ezzi, A Ammar, S Fitouri, A Soua, I Fathallah, M Njah, ...","BMC Health Services Research 23 (1), 487, 2023",27.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:roLk4NBRz8UC
2022,Compassion fatigue among frontline healthcare workers during the covid-19 pandemic in Tunisia,"N Omri, O Ezzi, A Ammar, W Benzarti, D Loghmari, E Toulgui, ...","PloS one 17 (10), e0276455, 2022",20.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:Y0pCki6q_DkC
2022,Paediatric critical COVID-19: clinical features and outcomes during five waves.,"S Ghorbel, S Tilouche, S Khenis, M Marzouk, N Soyah, A Tej, R Kebaili, ...","F1000Research 11, 1215, 2022",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:LkGwnXOMwfcC
2022,Patient safety in medical education: Tunisian students’ attitudes,"O Ezzi, M Mahjoub, N Omri, A Ammar, D Loghmari, S Chelly, A Mtira, ...","Libyan Journal of Medicine 17 (1), 2022",14.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:qjMakFHDy7sC
2022,Strength of academic motivation among medical students in the Faculty of Medicine of Sousse (Tunisia),"O Ezzi, C Harizi, A Ammar, S Chelly, S Rouis, A Soua, S Fitouri, M Njah, ...","La Tunisie Médicale 100 (11), 2022",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:_FxGoFyzp5QC
2022,"Hesitation of the Tunisian population to COVID-19 vaccination, and its associated factors","A Maatouk, A Ammar, O Ezzi, S Chelly, W Bannour, R Helali, M Njah, ...","La Tunisie Medicale 100 (3), 222, 2022",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:UeHWp8X0CEIC
2021,Burden of Healthcare-associated infections in a Tunisian University Hospital in 2019,"O Ezzi, M Majoub, A Ammar, N Dhaouadi, Y Ayedi, R Helali, W Bannour","La Tunisie Médicale 99 (12), 2021",7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:hqOjcs7Dif8C
2021,Burden of Healthcare-associated infections in a Tunisian University Hospital in 2019,"M Majoub, A Ammar, N Dhaouadi, Y Ayedi, R Helali, W Bannour",,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:UebtZRa9Y70C
2021,"Depression in a sample of Tunisian adolescents: prevalence, associated factors and comorbidity with anxiety disorders","I Sendi, A Chouikh, A Ammar, N Bouafia","International journal of adolescent medicine and health 33 (1), 20180068, 2021",5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:WF5omc3nYNoC
2021,Excess Weight Among Preschool Children in a Lower-Middle-Income Country: Predictors and Perspectives of Prevention,"SB Fredj, R Ghammam, N Zammit, SB Ammar, A Ammar, Y Hasni, ...",,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:eQOLeE2rZwMC
2021,"Good hygiene practice application in the private sector, Tunisia","M Mahjoub, O Ezzi, A Ammar, N Elomri, HS Achach, M Njah","Eastern Mediterranean Health Journal 27 (8), 764-771, 2021",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=s1NiLNUAAAAJ&sortby=pubdate&citation_for_view=s1NiLNUAAAAJ:W7OEmFMy1HYC
