Annee,Titre,Auteurs,Journal,Citations,Lien
2025,Building a comprehensive and multi-dimensional information security ontology: elicitation process and OWL implementation,"I Meriah, L Ben Arfa Rabai, R Khedri","Knowledge and Information Systems 67 (1), 167-195, 2025",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:P5F9QuxV20EC
2023,Comparison of Feature Selection via Semi supervised denoising autoencoder and traditional approaches For Software Fault-prone Classification,"D Amara, L Rabai",,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:NhqRSupF_l8C
2023,An OWL Multi-Dimensional Information Security Ontology,"R Meriah, I., Rabai, L. B. A., & Khédri","ENASE, 372-380, 2023",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:1sJd4Hv_s6UC
2023,Tailoring project management practices for decision making: an in-depth comparative study,"W Zaouga, L Rejeb, LBA Rabai","International Journal of Project Organisation and Management 15 (2), 158-183, 2023",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:xtRiw3GOFMkC
2022,Empirical Validation of Entropy-Based Redundancy Metrics as Reliability Indicators Using Fault-Proneness Attribute and Complexity Metrics,"D Amara, L Ben Arfa Rabai","International Conference on Evaluation of Novel Approaches to Software …, 2022",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:CHSYGLWDkRkC
2022,Classification Techniques Use to Empirically Validate Redundancy Metrics as Reliability Indicators based on Fault-proneness Attribute.,"D Amara, LBA Rabai","ENASE, 209-220, 2022",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:abG-DnoFyZgC
2021,A quantitative assessment of security risks based on a multifaceted classification approach: M. Jouini et al.,"M Jouini, L Ben Arfa Rabai, R Khedri","International Journal of Information Security 20 (4), 493-510, 2021",20.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:dfsIfKJdRG4C
2021,Towards a New Semantic Metric for Error Detection Based on Program State Redundancy,"DA Amara, LBA Rabai","International Journal of Systems and Service-Oriented Engineering (IJSSOE …, 2021",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:pyW8ca7W8N0C
2021,Towards an automatic approach to the design of a generic ontology for information security,"I Meriah, LBA Rabai, R Khedri","2021 Reconciling Data Analytics, Automation, Privacy, and Security: A Big …, 2021",8.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:D03iK_w7-QYC
2021,Research Article An Empirical Assessment and Validation of Redundancy Metrics Using Defect Density as Reliability Indicator,"D Amara, E Fatnassi, LBA Rabai",,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:EUQCXRtRnyEC
2021,A decision support system for project risk management based on ontology learning,"W Zaouga, LBA Rabai","International Journal of Computer Information Systems and Industrial …, 2021",9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:_xSYboBqXhAC
2021,An empirical assessment and validation of redundancy metrics using defect density as reliability indicator,"D Amara, E Fatnassi, L Ben Arfa Rabai","Scientific Programming 2021 (1), 8325417, 2021",6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=n2Mqv7YAAAAJ&sortby=pubdate&citation_for_view=n2Mqv7YAAAAJ:bFI3QPDXJZMC
