Annee,Titre,Auteurs,Journal,Citations,Lien
2026,Greedy Insertion with Queue-Based Retry and Dynamic Acceptance Control,"S Nasri¹, H Bouziri","Optimization and Data Science in Industrial Engineering: Third International …, 2026",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:M3NEmzRMIkIC
2026,An Insertion Reasoning Approach Based,"M Ayari, S Nasri¹, H Bouziri, W Aggoune-Mtalaa","Optimization and Data Science in Industrial Engineering: Third International …, 2026",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:isC4tDSrTZIC
2025,An Insertion Reasoning Approach Based on Local Search,"M Ayari, S Nasri, H Bouziri, W Aggoune-Mtalaa","International Conference on Optimization and Data Science in Industrial …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:maZDTaKrznsC
2025,Greedy Insertion with Queue-Based Retry and Dynamic Acceptance Control,"K Bedhief, S Nasri, H Bouziri","International Conference on Optimization and Data Science in Industrial …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:k_IJM867U9cC
2025,An improved bi-criteria evolutionary approach for the sum coloring of graphs,"O Harrabi, JC Siala, H Bouziri","RAIRO-Operations Research 59 (6), 3683-3702, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:iH-uZ7U-co4C
2025,Optimizing Non-emergency Patient Transport with Variable Neighborhood Search: A Real-World Case Study,"C Ben Othmen, S Nasri, H Bouziri","International Conference on Science, Engineering Management and Information …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:r0BpntZqJG4C
2025,Location Optimization of Micro-depots in Urban Food Logistics,"H Dridi, Z Neji Ben Salem, H Bouziri","International Conference on Science, Engineering Management and Information …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:j3f4tGmQtD8C
2025,Hybrid Deep Learning Models for Short-Term Forecasting Item Demands in Retail,"S Ben Hdia, Z Neji Ben Salem, H Bouziri","International Conference on Science, Engineering Management and Information …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:4JMBOYKVnBMC
2025,A clustering based bi-objective optimization of the location of electric charging stations in Tunis,"A Mzita, W Aggoune-Mtalaa, H Bouziri","2025 11th International Conference on Control, Decision and Information …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:bEWYMUwI8FkC
2025,A Local Search Deep Q-Network to Optimize On-Demand Tranportation Problems,"M Ayari, S Nasri, H Bouziri, W Aggoune-Mtalaa","Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EA8h1zoAAAAJ&sortby=pubdate&citation_for_view=EA8h1zoAAAAJ:RHpTSmoSYBkC
