Annee,Titre,Auteurs,Journal,Citations,Lien
2026,Rethinking fairness in unsupervised healthcare AI: A methodological scoping review,"M Adouani, D Annane, ZC Dagdia","Journal of Biomedical Informatics, 105040, 2026",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:_Ybze24A_UAC
2025,Fair and Privacy-Preserving Synthetic Data Generation via Clustering-Based Variational Autoencoder and Adversarially Debiased Wasserstein Generative Adversarial Networks with …,"M Adouani, Z Chelly Dagdia","Joint European Conference on Machine Learning and Knowledge Discovery in …, 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:UHK10RUVsp4C
2025,Temperature-dependent performance prediction for cerium oxynitride solid-state symmetric supercapacitor using machine learning,"S Ghosh, A Sibi, GS Priyanga, ZC Dagdia, T Thomas","Journal of Energy Storage 113, 115562, 2025",9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:dQ2og3OwTAUC
2025,From Vibe Coding to Vibe Caring: What Clinicians Can Learn from Programmers,"G Abgrall, X Monnet, ZC Dagdia, A Arora, K Zeitouni","The Lancet, 2025",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:JQOojiI6XY0C
2024,A Multi-objective Multi-agent Interactive Deep Reinforcement Learning Approach for Feature Selection,"R Hellali, Z Chelly Dagdia, K Zeitouni","International Conference on Neural Information Processing, 15-29, 2024",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:hkOj_22Ku90C
2024,Cognitively Inspired Three-Way Decision Making and Bi-Level Evolutionary Optimization for Mobile Cybersecurity Threats Detection: A Case Study on Android Malware,"M Jerbi, Z Chelly Dagdia, S Bechikh, LB Said","Cognitive Computation 16 (6), 3200-3227, 2024",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:N5tVd3kTz84C
2024,Exploring accuracy and interpretability trade-off in tabular learning with novel attention-based models,"KM Amekoe, H Azzag, ZC Dagdia, M Lebbah, G Jaffre","Neural Computing and Applications 36 (30), 18583-18611, 2024",7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:VL0QpB8kHFEC
2024,Evaluating the Efficacy of Instance Incremental vs. Batch Learning in Delayed Label Environments: An Empirical Study on Tabular Data Streaming for Fraud Detection,"KM Amekoe, M Lebbah, G Jaffre, H Azzag, ZC Dagdia","arXiv preprint arXiv:2409.10111, 2024",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:ZuybSZzF8UAC
2024,Should AI models be explainable to clinicians?,"G Abgrall, AL Holder, Z Chelly Dagdia, K Zeitouni, X Monnet","Critical Care 28 (1), 301, 2024",168.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:1yQoGdGgb4wC
2024,Evaluating the Efficacy of Instance Incremental vs. Batch Learning in Delayed Label Environments: An Empirical Study on Tabular Data Streaming for Fraud Detection,"K Mawuena Amekoe, M Lebbah, G Jaffre, H Azzag, Z Chelly Dagdia","arXiv e-prints, arXiv: 2409.10111, 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wzee854AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wzee854AAAAJ:PR6Y55bgFSsC
