Annee,Titre,Auteurs,Journal,Citations,Lien
2025,New Explainable Overlapping Co-Clustering for Recommender Systems: Capturing Multifaceted Preferences with Enhanced Interpretability.,"CE Ben Ncir, MI Alattas","International Journal of Advanced Computer Science & Applications 16 (9), 2025",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:ns9cj8rnVeAC
2024,Enhancing intrusion detection performance using explainable ensemble deep learning,"CEB Ncir, MAB HajKacem, M Alattas","PeerJ Computer Science 10, e2289, 2024",9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:hMod-77fHWUC
2024,Explainable Spark-based PSO Clustering for Intrusion Detection,"BN Chiheb-Eddine, BHK Mohamed Aymen, A Mohammed","Computer Science 25 (2), 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:NMxIlDl6LWMC
2024,Advances in computational logistics and supply chain analytics,"I Alharbi, CEB Ncir, B Alyoubi, H Ben-Romdhane","Springer, 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:M3NEmzRMIkIC
2024,Explainable spark-based psoclustering for intrusion detection,"CE Ben Ncir, MA Ben HajKacem, M Alattas","Computer Science 25, 211-237, 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:O3NaXMp0MMsC
2024,Enhancing research publication choices: A comparative study of journal recommender systems and their effectiveness,"B Waad, B Nouha, BN Chiheb Eddine","International Journal of ADVANCED AND APPLIED SCIENCES 11 (5), 217-229, 2024",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:YFjsv_pBGBYC
2023,Evolutionary multi-objective customer segmentation approach based on descriptive and predictive behaviour of customers: application to the banking sector,"CE Ben Ncir, M Ben Mzoughia, A Qaffas, W Bouaguel","Journal of Experimental & Theoretical Artificial Intelligence 35 (8), 1201-1223, 2023",9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:r0BpntZqJG4C
2023,Interpretable multi-criteria ABC analysis based on semi-supervised clustering and explainable artificial intelligence,"AA Qaffas, MAB Hajkacem, CEB Ncir, O Nasraoui","IEEE Access 11, 43778-43792, 2023",23.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:maZDTaKrznsC
2023,An explainable artificial intelligence approach for multi-criteria ABC item classification,"AA Qaffas, MA Ben HajKacem, CE Ben Ncir, O Nasraoui","Journal of Theoretical and Applied Electronic Commerce Research 18 (2), 848-866, 2023",35.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:TFP_iSt0sucC
2022,Data-Driven Analysis of Microfinance and Social Loans Before and During the COVID-19 Pandemic Using Exploratory Analysis and Decision Tree Classifiers,"CEB Ncir, B Alyoubi, R Alrazyeg","Machine Learning and Data Analytics for Solving Business Problems: Methods …, 2022",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=in6yvikAAAAJ&sortby=pubdate&citation_for_view=in6yvikAAAAJ:iH-uZ7U-co4C
