Annee,Titre,Auteurs,Journal,Citations,Lien
2023,Evidential Generative Adversarial Networks for handling imbalanced learning,"F Grina, Z Elouedi, E Lefevre","European Conference on Symbolic and Quantitative Approaches with Uncertainty …, 2023",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:SpbeaW3--B0C
2023,An ensemble classifier through rough set reducts for handling data with evidential attributes,"A Trabelsi, Z Elouedi, E Lefevre","Information Sciences 635, 414-429, 2023",23.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:e_rmSamDkqQC
2023,Re-sampling of multi-class imbalanced data using belief function theory and ensemble learning,"F Grina, Z Elouedi, E Lefevre","International Journal of Approximate Reasoning 156, 1-15, 2023",24.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:S16KYo8Pm5AC
2022,Déséquilibre multi-classes: une approche évidentielle de rééchantillonnage hybride,"F Grina, Z Elouedi, E Lefevre","31e Rencontres Francophones sur la Logique Floue et ses Applications, LFA …, 2022",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:WZBGuue-350C
2022,Learning from imbalanced data using an evidential undersampling-based ensemble,"F Grina, Z Elouedi, E Lefevre","International Conference on Scalable Uncertainty Management, 235-248, 2022",4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:oNZyr7d5Mn4C
2022,Hybrid artificial immune recognition system with improved belief classification process,"R Abdelkhalek, Z Elouedi","International Conference on Belief Functions, 307-316, 2022",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:kz9GbA2Ns4gC
2022,Evidential hybrid re-sampling for multi-class imbalanced data,"F Grina, Z Elouedi, E Lefevre","International Conference on Information Processing and Management of …, 2022",5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:LI9QrySNdTsC
2022,CIMMEP: constrained integrated method for CBR maintenance based on evidential policies,"SB Ayed, Z Elouedi, E Lefevre","Applied Intelligence 52 (6), 6939-6954, 2022",7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:tYavs44e6CUC
2022,Towards more trustworthy predictions: A hybrid evidential movie recommender system.,"R Abdelkhalek, I Boukhris, Z Elouedi","J. Univers. Comput. Sci. 28 (10), 1003-1029, 2022",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:-FonjvnnhkoC
2021,Evidential spammers and group spammers detection,"M Ben Khalifa, Z Elouedi, E Lefèvre","International Conference on Intelligent Systems Design and Applications, 255-265, 2021",5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:MLfJN-KU85MC
2021,Optimized Evidential AIRS with Feature Selection and Genetic Algorithm,"R Abdelkhalek, Z Elouedi","International Conference on Intelligent Systems Design and Applications …, 2021",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:tuHXwOkdijsC
2021,on Genetic Algorithm,"R Abdelkhalek, Z Elouedi","Intelligent Data Engineering and Automated Learning–IDEAL 2021: 22nd …, 2021",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:0N-VGjzr574C
2021,An optimized evidential artificial immune recognition system based on genetic algorithm,"R Abdelkhalek, Z Elouedi","International Conference on Intelligent Data Engineering and Automated …, 2021",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:kuK5TVdYjLIC
2021,Evidential undersampling approach for imbalanced datasets with class-overlapping and noise,"F Grina, Z Elouedi, E Lefevre","International conference on modeling decisions for artificial intelligence …, 2021",8.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:TIZ-Mc8IlK0C
2021,Uncertainty-aware resampling method for imbalanced classification using evidence theory,"F Grina, Z Elouedi, E Lefevre","European Conference on Symbolic and Quantitative Approaches with Uncertainty …, 2021",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WAzBt4AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WAzBt4AAAAAJ:gsN89kCJA0AC
