Annee,Titre,Auteurs,Journal,Citations,Lien
2024,Detecting Arabic fake news using deep learning: A review,"Y Khelil, S Mechti, R Faiz","2024 International Symposium of Systems, Advanced Technologies and Knowledge …, 2024",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:WqliGbK-hY8C
2024,Evaluating multilingual approaches to sarcasm detection: Insights from english and arabic texts,"B Bassem, C Ammamou, S Mechti, R Faiz","2024 International Symposium of Systems, Advanced Technologies and Knowledge …, 2024",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:5awf1xo2G04C
2024,Intermediate Hidden Layers for Legal Case Retrieval Representation,"E Hammami, M Boughanem, R Faiz, T Dkaki","International Conference on Database and Expert Systems Applications, 306-319, 2024",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:eq2jaN3J8jMC
2024,European Union’s Legislative Proposals Clustering Based on Multiple Hidden Layers Representation,"E Hammami, R Faiz","International Baltic Conference on Digital Business and Intelligent Systems …, 2024",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:9vf0nzSNQJEC
2024,Bertopic-lda model for a bidirectional recommendation system: Toward matching jobs and job seekers,"S Boukari, R Faiz","International Congress on Information and Communication Technology, 571-580, 2024",4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:SdhP9T11ey4C
2024,Topic Modelling of Legal Texts Using Bidirectional Encoder Representations,"E Hammami¹, R Faiz","Advances in Information Systems, Artificial Intelligence and Knowledge …, 2024",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:LjlpjdlvIbIC
2023,Sentiment analysis: effect of combining bert as an embedding technique with CNN model for Tunisian dialect,"S Mechti, R Faiz, N Khoufi, S Antit, M Krichen","International Conference on Information and Knowledge Systems, 309-320, 2023",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:JoZmwDi-zQgC
2023,Topic Modelling of Legal Texts Using Bidirectional Encoder Representations from Sentence Transformers,"E Hammami, R Faiz","International Conference on Information and Knowledge Systems, 333-343, 2023",3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:PELIpwtuRlgC
2022,A recommendation system for job providers using a big data approach,"S Boukari, S Mechti, R Faiz","International Conference on Computational Collective Intelligence, 57-68, 2022",2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:_B80troHkn4C
2022,Text Clustering based on Multi-View Representations.,"E Hammami, R Faiz","CIRCLE, 2022",12.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:tkaPQYYpVKoC
2022,Learning English and Arabic question similarity with Siamese neural networks in community question answering services,"N Othman, R Faiz, K Smaïli","Data & Knowledge Engineering 138, 101962, 2022",38.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:WA5NYHcadZ8C
2022,TunRoBERTa: a Tunisian robustly optimized BERT approach model for sentiment analysis,"C Antit, S Mechti, R Faiz","2nd International Conference on Industry 4.0 and Artificial Intelligence …, 2022",13.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:eMMeJKvmdy0C
2021,A Study of Dynamic Convolutional Neural Network Technique for SCOTUS Legal Opinions Data Classification,"E Hammami, R Faiz, SB Slama","Annual International Conference on Information Management and Big Data, 79-91, 2021",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:Y5dfb0dijaUC
2021,A dynamic convolutional neural network approach for legal text classification,"E Hammami, R Faiz, I Akermi","International Conference on Information and Knowledge Systems, 71-84, 2021",6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:HE397vMXCloC
2021,Deep hybrid neural networks with improved weighted word embeddings for sentiment analysis,"R Othman, R Faiz, Y Abdelsadek, K Chelghoum, I Kacem","International Symposium on Intelligent Data Analysis, 50-62, 2021",1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cKMU5ukAAAAJ&sortby=pubdate&citation_for_view=cKMU5ukAAAAJ:t6usbXjVLHcC
