annee,titre,auteurs,journal,volume,issue,pages,publisher,citations,url
2025,Analyse des pratiques de mobilité quotidienne dans les zones d'activités de Tunis,Bertrand Jouve and Souhir Bouzid and Sami Yassine Turki and Nawel Ayadi and Nahla Ben Amor,Mobilités dans les marges: regards depuis le Sud,,,,,0,https://shs.hal.science/halshs-05536187/
2024,Approximate inference on optimized quantum Bayesian networks,Walid Fathallah and Nahla Ben Amor and Philippe Leray,International Journal of Approximate Reasoning,175,,109307,Elsevier,7,https://www.sciencedirect.com/science/article/pii/S0888613X24001944
2024,Dynamic Communities: A Novel Recommendation Approach for Individuals,Sabrine Ben Abdrabbah Sabrine Mallek and Nahla Ben Amor,"Agents and Artificial Intelligence: 15th International Conference, ICAART 2023, Lisbon, Portugal, February 22–24, 2023, Revised Selected Papers",,,187,Springer Nature,0,https://books.google.com/books?hl=en&lr=&id=wWD8EAAAQBAJ&oi=fnd&pg=PA187&dq=info:L9a24AnURKsJ:scholar.google.com&ots=Pw-AXMA-Jl&sig=unIc06l1PdpWhDwOGR1O1xudPdo
2023,An optimized Quantum circuit representation of Bayesian networks,Walid Fathallah and Nahla Ben Amor and Philippe Leray,,,,160-171,Springer Nature Switzerland,5,https://link.springer.com/chapter/10.1007/978-3-031-45608-4_13
2023,Toward a research agenda on digital media and humanity well-being,Chavalarias David and Beatrice De Gelder and Guido Caldarelli and Melanie Dulong de Rosnay and Antonio A Casilli and Alexandre Delanoë and Luisa Fassi and Divina Frau-Meigs and Bertrand Jouve and Andrzej Nowak and Víctor Rodríguez-Doncel and Camille Roth and Mel Slater and Nahla Ben Amor and Anna Boros and Michela Brunori and Maria Jose Brites and Diminescu Dana and Caroline Datchary and Silvestri Fabrizio and Laura Hernandez and Pawel Horodecki and Sirkku Kotilainen and Jean Lassègue and Emmanuel Lazega and Quentin Lobbé and Julian Mcdougall and Paul Lukowicz and Darian Meacham and Elisa Omodei and Amy Orben and Geoffroy Patriarche and David Pearce and Maria Gabriella Pediconi and Savino Romani and Jerôme Sackur and Valérie Schafer and Erika Stael Von Holstein and Aureli Soria-Frisch and Luca Tummolini and Mirko Zichichi and Mark Buchanan and David Chavalarias,,,,130 p.,"CNRS; Directorate-General for Communications Networks, Content and Technology (European Commission)",3,https://hal.science/hal-04091733/
2023,A New Dynamic Community-Based Recommender System.,Sabrine Ben Abdrabbah and Nahla Ben Amor and Raouia Ayachi,,,,125-136,,3,https://www.scitepress.org/Papers/2023/116413/116413.pdf
2023,Dynamic Communities: A Novel Recommendation Approach for Individuals and Groups,Sabrine Ben Abdrabbah and Sabrine Mallek and Nahla Ben Amor,,,,187-201,Springer Nature Switzerland,1,https://link.springer.com/chapter/10.1007/978-3-031-55326-4_9
2022,Approximating voting rules from truncated ballots,Manel Ayadi and Nahla Ben Amor and Jérôme Lang,Autonomous Agents and Multi-Agent Systems,36,1,24,Springer US,8,https://link.springer.com/article/10.1007/s10458-022-09551-z
2022,Solving possibilistic games with incomplete information,Nahla Ben Amor and Hélène Fargier and Régis Sabbadin and Meriem Trabelsi,International Journal of Approximate Reasoning,143,,139-158,Elsevier,6,https://www.sciencedirect.com/science/article/pii/S0888613X22000160
2022,Possibilistic preference networks and lexicographic preference trees–a comparison,Nahla Ben Amor and Didier Dubois and Henri Prade and Syrine Saidi,,,,581-592,Springer International Publishing,4,https://link.springer.com/chapter/10.1007/978-3-031-08971-8_48
2022,Représentation et exploitation des préférences conditionnelles dans un cadre possibiliste: Comparaison avec d’autres approches et extensions,Nahla BEN AMOR,,,,,,0,https://utheme.utoulouse.fr/files/original/14e86981addf08ac1a5103573e87a8d58e3581d9.pdf
2021,Conditional Preference Networks: Refining Solution Orderings Beyond Pareto Dominance,Nahla Ben Amor and Didier Dubois and Henri Prade and Syrine Saidi,,,,447-459,Springer International Publishing,3,https://link.springer.com/chapter/10.1007/978-3-030-79457-6_38
