Date,Titre,Type,Open_Access,DOI,EID,Langue,PubMed_ID,Source_Type,ISSN,Publisher,Journal,Volume,Issue,Pages,Article_Number,Citations,Auteurs_detail,Affiliations,Abstract,URL
2025-01-01,Building a comprehensive and multi-dimensional information security ontology: elicitation process and OWL implementation,Article,Non,10.1007/s10115-024-02308-y,2-s2.0-85212880416,eng,,Journal,02193116 02191377,,Knowledge and Information Systems,67,1,167-195,,1,,"[] McMaster University, Faculty of Engineering — Hamilton, Canada | [] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.1007/s10115-024-02308-y
2023-01-01,Tailoring project management practices for decision making: an in-depth comparative study,Article,Non,10.1504/IJPOM.2023.131677,2-s2.0-85164335320,eng,,Journal,17402905 17402891,,International Journal of Project Organisation and Management,15,2,158-183,,2,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.1504/IJPOM.2023.131677
2023-01-01,An OWL Multi-Dimensional Information Security Ontology,Conference Paper,Oui — true,10.5220/0011841300003464,2-s2.0-85160520664,eng,,Conference Proceeding,21844895,,International Conference on Evaluation of Novel Approaches to Software Engineering Enase Proceedings,2023-April,,372-380,,1,,"[] McMaster University, Faculty of Engineering — Hamilton, Canada | [] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.5220/0011841300003464
2023-01-01,Empirical Validation of Entropy-Based Redundancy Metrics as Reliability Indicators Using Fault-Proneness Attribute and Complexity Metrics,Conference Paper,Oui — true,10.1007/978-3-031-36597-3_5,2-s2.0-85169048785,eng,,Book Series,18650937 18650929,,Communications in Computer and Information Science,1829 CCIS,,93-115,,0,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.1007/978-3-031-36597-3_5
2022-01-01,Classification Techniques Use to Empirically Validate Redundancy Metrics as Reliability Indicators based on Fault-proneness Attribute,Conference Paper,Oui — true,10.5220/0011081900003176,2-s2.0-85140962985,eng,,Conference Proceeding,21844895,,International Conference on Evaluation of Novel Approaches to Software Engineering Enase Proceedings,,,209-220,,1,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.5220/0011081900003176
2021-08-01,A quantitative assessment of security risks based on a multifaceted classification approach,Article,Non,10.1007/s10207-020-00515-6,2-s2.0-85088243389,eng,,Journal,16155270 16155262,,International Journal of Information Security,20,4,493-510,,10,,"[] McMaster University, Faculty of Engineering — Hamilton, Canada | [] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia | [] University of Buraimi — Al Buraimi, Oman",,https://doi.org/10.1007/s10207-020-00515-6
2021-05-18,Towards an Automatic Approach to the Design of A Generic Ontology for Information Security,Conference Paper,Non,10.1109/RDAAPS48126.2021.9452006,2-s2.0-85113178672,eng,,Conference Proceeding,,,2021 Reconciling Data Analytics Automation Privacy and Security A Big Data Challenge Rdaaps 2021,,,,9452006,6,,"[] McMaster University, Faculty of Engineering — Hamilton, Canada | [] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia",,https://doi.org/10.1109/RDAAPS48126.2021.9452006
2021-01-01,A Decision Support System for Project Risk Management based on Ontology Learning,Article,Non,,2-s2.0-85112856591,eng,,Journal,21507988,,International Journal of Computer Information Systems and Industrial Management Applications,13,,113-123,,9,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia | [] University of Buraimi — Al Buraimi, Oman",,https://www.scopus.com/record/display.uri?eid=2-s2.0-85112856591
2021-01-01,An Empirical Assessment and Validation of Redundancy Metrics Using Defect Density as Reliability Indicator,Article,Oui — true,10.1155/2021/8325417,2-s2.0-85102005538,eng,,Journal,10589244,,Scientific Programming,2021,,,8325417,2,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia | [] Insitut des Hautes Etudes de Tunis — Tunis, Tunisia",,https://doi.org/10.1155/2021/8325417
2021-01-01,A Smart Ontology for Project Risk Management Based on PMI’s Framework,Conference Paper,Non,10.1007/978-981-15-5856-6_21,2-s2.0-85096421878,eng,,Book Series,21945365 21945357,,Advances in Intelligent Systems and Computing,1183,,218-228,,1,,"[] Institut Supérieur de Gestion de Tunis — Le Bardo, Tunisia | [] University of Buraimi — Al Buraimi, Oman",,https://doi.org/10.1007/978-981-15-5856-6_21
