Annee,Titre,Auteurs,Venue,Type,DOI,WOS_ID,Lien
2025,Dynamic Time Warping-Based Evidential Clustering of Time Series with c-Medoids,Eya Laffet; Ahmed Samet; Mohamed Anis Bach Tobji; Baptiste Lafabrègue; François de Bertrand de Beuvron,,article,10.1109/icmla66185.2025.00084,,https://doi.org/10.1109/icmla66185.2025.00084
2025,A Review of SHAP and LIME for Enhancing Classification Transparency in Real-Life Logistics and Supply Chain Management Problems,Houssem Bedhief; Chiheb Eddine Ben Ncir; Mohamed Anis Bach Tobji,Unsupervised and semi-supervised learning,book-chapter,10.1007/978-3-032-02939-3_2,,https://doi.org/10.1007/978-3-032-02939-3_2
2025,Advanced methods for identifying and profiling social media influencers: a data-driven framework,Malek Chebil; Rim Jallouli; Mohamed Anis Bach Tobji,Journal of Business Analytics,article,10.1080/2573234x.2025.2545923,,https://doi.org/10.1080/2573234x.2025.2545923
2025,"Guest Editorial: Driving the Digital Economy with Cutting-Edge Technologies, Innovation and Data Analytics",Rim Jallouli; Mohamed Anis Bach Tobji; Hicham Sadok; Kaltoum Lajfari,Journal of Telecommunications and the Digital Economy,editorial,10.18080/jtde.v13n1.1245,,https://doi.org/10.18080/jtde.v13n1.1245
2025,Selecting Opinion Leaders using Skyline Query (SOL-SQ): a new approach,Malek Chebil; Mohamed Anis Bach Tobji; Sayda Elmi; Rim Jallouli,International Journal of Computers and Applications,article,10.1080/1206212x.2025.2464554,,https://doi.org/10.1080/1206212x.2025.2464554
2024,Editorial: Emerging Technologies and Innovation for Digital Economy and Transformation,Rim Jallouli; Mohamed Anis Bach Tobji; Ana Maria Soares; Beatriz Casais; Meriam Belkhir,Journal of Telecommunications and the Digital Economy,editorial,10.18080/jtde.v12n1.945,,https://doi.org/10.18080/jtde.v12n1.945
2024,Clustering Social Media Data for Marketing Strategies,Malek Chebil; Rim Jallouli; Mohamed Anis Bach Tobji,Journal of Telecommunications and the Digital Economy,article,10.18080/jtde.v12n1.889,,https://doi.org/10.18080/jtde.v12n1.889
2024,Twitter Opinion Leaders’ Detection (TOLD): A comprehensive approach,Malek Chebil; Mohamed Anis Bach Tobji; Rim Jallouli,Procedia Computer Science,article,10.1016/j.procs.2024.09.537,,https://doi.org/10.1016/j.procs.2024.09.537
2023,Digital Economy. Emerging Technologies and Business Innovation,Rim Jallouli; Mohamed Anis Bach Tobji; Meriam Belkhir; Ana Maria Soares; Beatriz Casais,Lecture notes in business information processing,book,10.1007/978-3-031-42788-6,,https://doi.org/10.1007/978-3-031-42788-6
2022,WPEviRC: A Multi-rules-based Classifier for Evidential Databases Without Class Label Ambiguities,Nassim Bahri; Mohamed Anis Bach Tobji; Boutheina Ben Yaghlane,International Journal of Artificial Intelligence Tools,article,10.1142/s0218213022600028,,https://doi.org/10.1142/s0218213022600028
2022,Guest Editorial,Rim Jallouli; Mohamed Anis Bach Tobji; Gunnar Piho; Hamid Mcheick,Journal of Telecommunications and the Digital Economy,editorial,10.18080/jtde.v10n2.590,,https://doi.org/10.18080/jtde.v10n2.590
2022,ECFAR: A Rule-Based Collaborative Filtering System Dealing with Evidential Data,Nassim Bahri; Mohamed Anis Bach Tobji; Boutheina Ben Yaghlane,Lecture notes in networks and systems,book-chapter,10.1007/978-3-030-96308-8_88,,https://doi.org/10.1007/978-3-030-96308-8_88
2021,Topic Modeling of Marketing Scientific Papers: An Experimental Survey,Malek Chebil; Rim Jallouli; Mohamed Anis Bach Tobji; Chiheb-Eddine Ben N’Cir,Lecture notes in business information processing,book-chapter,10.1007/978-3-030-92909-1_10,,https://doi.org/10.1007/978-3-030-92909-1_10
