Annee,Titre,Auteurs,Venue,Type,DOI,WOS_ID,Lien
2024,Building a comprehensive and multi-dimensional information security ontology: elicitation process and OWL implementation,Ines Meriah; Latifa Ben Arfa Rabai; Ridha Khédri,Knowledge and Information Systems,article,10.1007/s10115-024-02308-y,,https://doi.org/10.1007/s10115-024-02308-y
2023,Comparison of Feature Selection via Semi supervised denoising autoencoder and traditional approaches For Software Fault-prone Classification,Dalila Amara; Latifa Ben Arfa Rabai,Research Square,preprint,10.21203/rs.3.rs-3052524/v1,,https://doi.org/10.21203/rs.3.rs-3052524/v1
2023,Tailoring project management practices for decision making: an in-depth comparative study,Wiem Zaouga; Lilia Rejeb; Latifa Ben Arfa Rabai,International Journal of Project Organisation and Management,article,10.1504/ijpom.2023.131677,,https://doi.org/10.1504/ijpom.2023.131677
2023,Empirical Validation of Entropy-Based Redundancy Metrics as Reliability Indicators Using Fault-Proneness Attribute and Complexity Metrics,Dalila Amara; Latifa Ben Arfa Rabai,Communications in computer and information science,book-chapter,10.1007/978-3-031-36597-3_5,,https://doi.org/10.1007/978-3-031-36597-3_5
2023,An OWL Multi-Dimensional Information Security Ontology,Ines Meriah; Latifa Ben Arfa Rabai; Ridha Khédri,,article,10.5220/0011841300003464,,https://doi.org/10.5220/0011841300003464
2022,Classification Techniques Use to Empirically Validate Redundancy Metrics as Reliability Indicators based on Fault-proneness Attribute,Dalila Amara; Latifa Ben Arfa Rabai,,article,10.5220/0011081900003176,,https://doi.org/10.5220/0011081900003176
2021,Towards a New Semantic Metric for Error Detection Based on Program State Redundancy,Dalila Amara; Latifa Ben Arfa Rabai,International Journal of Systems and Service-Oriented Engineering,article,10.4018/ijssoe.2021070101,,https://doi.org/10.4018/ijssoe.2021070101
2021,Towards an Automatic Approach to the Design of A Generic Ontology for Information Security,Ines Meriah; Latifa Ben Arfa Rabai; Ridha Khédri,,article,10.1109/rdaaps48126.2021.9452006,,https://doi.org/10.1109/rdaaps48126.2021.9452006
2021,An Empirical Assessment and Validation of Redundancy Metrics Using Defect Density as Reliability Indicator,Dalila Amara; Ezzeddine Fatnassi; Latifa Ben Arfa Rabai,Scientific Programming,article,10.1155/2021/8325417,,https://doi.org/10.1155/2021/8325417
2021,A Decision Support System Based on Ontology Learning from PMI’ Project Risk Management,Wiem Zaouga; Latifa Ben Arfa Rabai,Advances in intelligent systems and computing,book-chapter,10.1007/978-3-030-71187-0_67,,https://doi.org/10.1007/978-3-030-71187-0_67
